Geography ID,Transportation Burden Pct Income,Energy Burden Pct Income
G01101001900,0.023227298,0.0375999999999999
G01073014404,0.028863927,0.0206
G01105687000,0.031515339,0.0825
G01043965401,0.033369499,0.0399
G01043965300,0.055270779,0.0498
G01047957300,0.046107293,0.0806
G01073003100,0.033903583,0.0825
G01043965200,0.041020632,0.0384
G01117030213,0.031330857,0.0220999999999999
G01089003100,0.019452554,0.0163999999999999
G01073014104,0.028106275,0.045
G01043965100,0.041278169,0.0371
G01051030400,0.048608962,0.0336
G01015002101,0.037420219,0.055
G01069040201,0.030365686,0.0233
G01049960100,0.043016341,0.0447
G01043965402,0.04577051,0.0469
G01071950500,0.053905646,0.049
G01043964900,0.033354605,0.0387
G01081040603,0.065903002,0.076
G01117030305,0.025709909,0.0199
G01071950400,0.049662963,0.0508
G01097003607,0.027855397,0.0366999999999999
G01121011100,0.051003641,0.0555
G01055010601,0.030505974,0.0389
G01071950200,0.036495709,0.0447
G01025957800,0.038822179,0.0559999999999999
G01031010100,0.046749222,0.0476999999999999
G01071950100,0.057627585,0.0457
G01025957700,0.038065882,0.0151
G01093964000,0.037709663,0.0557
G01043964500,0.050240721,0.0423
G01047956500,0.027903464,0.1005
G01061050300,0.035937315,0.0503
G01041963900,0.039422446,0.0504999999999999
G01117030336,0.024627325,0.0213
G01055010502,0.03189327,0.0349
G01073011705,0.035586333,0.0351
G01031010800,0.040194536,0.0295
G01031010700,0.036001197,0.0382
G01041963600,0.047974463,0.0852999999999999
G01039962100,0.048172809,0.0559999999999999
G01053970600,0.043330564,0.0715
G01069040100,0.039231223,0.0279999999999999
G01017954700,0.035945859,0.0572
G01081040800,0.096415213,0.09
G01041963500,0.050954015,0.0550999999999999
G01101000700,0.022586591,0.072
G01039962000,0.040713036,0.0397
G01003011101,0.029060288,0.0213
G01097002000,0.01860775,0.0250999999999999
G01041963400,0.039791428,0.0587
G01031010400,0.036599227,0.0503
G01049960500,0.037640633,0.0366999999999999
G01125010202,0.030052071,0.0304
G01003011202,0.021777779,0.0327
G01073013400,0.024239566,0.0449
G01025957902,0.041669291,0.0475999999999999
G01049960200,0.051603171,0.0504
G01073011001,0.028558777,0.0297
